TV,Radio,Newspaper,Sales
38.7,18.4,65.8,9.4
148.3,4.5,77.8,13.1
178.6,30.7,44.1,15.5
9.2,22.6,39.3,9.2
44.4,21.2,65.7,5.9
275.2,42.3,55.2,23.9
21.5,6.8,80.9,2.3
39.1,30.6,106.7,11.2
281.1,20.5,96.6,16.6
184.6,26.2,44.4,11.9
109.8,24.8,42.7,13.3
151.9,6.7,105.7,14.9
196.7,25.4,45.2,15.7
82.1,42.8,91.3,16.1
41.5,8.5,10.8,6.6
233.7,0.6,51.6,13.2
198.9,3.4,59.0,13.7
152.2,22.8,92.3,16.9
242.2,48.3,100.1,21.0
163.1,2.2,17.7,11.8
290.8,49.2,70.5,26.0
61.2,26.6,71.8,8.3
164.4,6.0,17.5,14.3
143.7,20.8,95.1,16.6
105.2,10.3,63.2,8.0
175.6,35.4,109.6,20.5
70.3,26.9,21.5,11.3
237.9,14.3,60.0,16.2
257.2,12.7,37.1,19.6
38.8,43.0,73.3,13.1
138.8,38.0,69.4,16.9
82.7,21.6,58.6,13.3
25.3,20.1,37.2,10.0
265.6,36.6,57.6,23.4
127.8,48.1,42.6,15.5
44.4,3.9,101.6,3.0
199.8,7.9,52.8,15.4
60.5,18.0,54.3,7.5
267.3,25.2,29.7,20.2
64.9,3.5,29.2,4.7
10.5,2.7,108.8,3.5
60.1,10.9,36.0,5.6
102.9,19.1,99.0,13.9
139.4,36.7,67.9,14.5
268.6,30.3,111.8,20.6
206.9,1.4,19.0,12.3
101.0,2.2,107.4,9.9
5.7,22.4,88.1,4.9
48.0,43.4,64.9,13.2
295.3,45.4,80.9,24.6
136.6,18.1,82.4,13.4
205.0,44.0,51.3,21.4
16.9,46.1,72.4,11.6
10.8,20.2,26.3,7.6
250.8,37.0,2.7,20.8
174.5,18.1,77.2,15.1
92.0,7.6,54.2,8.4
94.5,28.5,103.3,11.4
27.1,4.3,30.3,4.9
51.8,32.9,93.3,12.0
8.0,40.1,112.4,14.6
248.8,45.4,102.4,22.0
138.6,22.2,110.0,13.9
38.3,5.8,18.4,8.2
219.3,44.8,19.1,17.9
58.6,43.2,26.3,10.8
19.0,48.0,41.4,10.8
177.6,29.5,13.4,16.4
265.6,33.4,17.4,25.5
8.7,18.5,2.4,7.5
238.8,9.1,106.4,17.5
56.9,14.5,41.4,7.9
28.2,35.7,71.5,6.8
6.0,16.1,52.0,2.3
87.3,34.3,84.8,15.0
215.7,24.9,92.0,17.7
146.5,22.3,43.8,11.6
252.9,48.0,61.2,25.4
64.9,8.2,11.4,4.9
93.9,24.2,32.8,13.7
77.0,7.9,25.6,10.4
290.0,46.5,35.4,23.7
279.0,24.2,37.2,18.4
101.4,16.5,65.7,12.0
129.6,8.3,38.1,8.6
93.6,29.5,37.5,14.2
221.4,19.8,94.8,14.7
12.5,6.3,1.7,6.1
20.6,1.6,0.9,4.3
120.2,19.4,6.8,11.4
73.2,28.9,98.7,10.1
250.6,25.7,72.4,19.6
220.1,44.6,83.1,18.2
162.1,45.2,109.2,18.3
196.3,46.4,25.1,20.0
205.4,39.7,104.9,20.9
231.7,23.7,27.9,15.9
275.0,26.0,59.3,23.3
45.0,19.7,77.7,8.1
185.8,19.8,90.9,13.2
43.2,2.1,28.5,7.6
131.7,39.6,54.5,19.2
233.2,12.2,5.5,15.6
265.3,1.5,33.0,13.8
225.2,23.1,111.8,17.5
11.2,35.6,103.2,8.9
107.0,21.6,66.5,11.3
48.9,18.1,89.7,11.1
296.0,32.7,102.9,23.2
43.3,8.1,38.0,6.7
72.9,0.6,111.8,6.9
106.3,29.4,51.3,13.2
18.7,26.3,18.4,10.1
258.1,42.9,60.6,24.3
188.9,20.6,67.8,14.8
47.9,39.0,79.1,12.6
148.0,0.9,76.6,13.9
24.0,1.4,5.0,5.0
181.4,29.7,73.0,16.5
69.2,11.2,105.1,11.6
12.1,3.3,76.5,4.1
34.8,6.3,111.2,3.8
164.9,18.6,58.5,15.1
189.1,16.7,92.4,13.1
96.7,28.0,16.2,11.8
191.0,44.0,102.1,20.4
104.8,18.1,49.9,10.9
39.3,9.1,100.0,5.1
93.9,28.7,36.8,11.7
117.6,0.1,71.3,7.3
270.6,19.1,96.6,20.8
34.9,15.7,81.2,6.2
26.2,19.2,70.8,6.7
166.7,2.5,110.7,14.4
285.6,27.5,10.3,20.3
269.0,31.0,11.9,23.6
207.8,37.2,63.0,21.6
20.4,47.5,108.8,12.5
239.2,17.6,78.4,14.7
202.8,32.6,35.5,19.1
43.3,21.9,12.5,10.2
138.2,10.7,51.3,12.9
15.3,44.1,54.9,12.0
237.8,37.0,53.5,22.8
213.2,46.8,70.7,23.8
238.6,40.7,31.3,19.7
225.6,45.5,100.4,24.2
79.7,6.4,33.1,8.1
234.2,0.8,12.5,12.9
74.4,9.8,40.0,7.6
41.5,20.4,106.7,11.7
116.1,34.1,18.4,16.3
147.9,21.7,31.9,10.8
85.2,25.5,105.7,11.7
179.8,37.7,39.9,18.0
178.9,3.5,96.2,11.4
71.6,33.6,5.5,11.7
184.8,2.4,101.3,9.3
106.3,12.3,27.3,11.5
217.9,35.8,20.8,18.1
86.6,33.9,84.7,12.6
236.9,20.1,112.8,16.5
123.4,14.6,109.4,10.0
164.3,41.1,85.8,19.4
199.8,13.6,104.3,15.2
154.0,1.5,112.5,9.0
76.9,12.3,63.2,7.1
290.3,1.1,16.7,15.6
29.1,40.2,96.9,13.4
96.8,6.1,45.3,8.7
163.1,48.3,35.8,19.9
9.2,10.6,57.3,4.8
46.5,15.2,4.3,7.5
237.0,29.0,2.4,19.6
232.5,15.3,30.4,13.3
189.1,18.8,68.1,17.8
267.4,5.2,85.5,14.8
224.1,19.3,109.1,15.8
89.1,1.3,93.3,9.4
191.4,11.1,107.3,14.1
101.3,45.1,72.7,16.1
222.4,13.9,83.7,14.7
114.5,13.4,67.1,8.0
46.0,33.7,9.6,11.7
259.9,43.8,7.3,25.1
204.9,14.7,86.7,13.5
