日期,星期,分店,假日,天氣,氣溫,促銷,上週同日營收,營收
2026-03-08,星期日,信義店,1,陰,13.9,0,4740,6340
2026-03-08,星期日,板橋店,1,陰,13.9,0,4895,5710
2026-03-08,星期日,中壢店,1,陰,13.9,0,4390,5260
2026-03-09,星期一,信義店,0,雨,15.6,0,1990,4125
2026-03-09,星期一,板橋店,0,雨,15.6,0,2315,3700
2026-03-09,星期一,中壢店,0,雨,15.6,0,2740,1250
2026-03-10,星期二,信義店,0,晴,17.2,1,3700,3535
2026-03-10,星期二,板橋店,0,晴,17.2,0,1995,2980
2026-03-10,星期二,中壢店,0,晴,17.2,0,3795,2245
2026-03-11,星期三,信義店,0,雨,16.4,0,3455,1845
2026-03-11,星期三,板橋店,0,雨,16.4,0,4075,2355
2026-03-11,星期三,中壢店,0,雨,16.4,0,3275,2640
2026-03-12,星期四,信義店,0,陰,20.7,0,2690,5055
2026-03-12,星期四,板橋店,0,陰,20.7,0,1875,3495
2026-03-12,星期四,中壢店,0,陰,20.7,0,1420,3835
2026-03-13,星期五,信義店,0,陰,17.5,0,3845,4605
2026-03-13,星期五,板橋店,0,陰,17.5,0,4975,3180
2026-03-13,星期五,中壢店,0,陰,17.5,0,5730,1895
2026-03-14,星期六,信義店,1,雨,18.5,0,6185,3855
2026-03-14,星期六,板橋店,1,雨,18.5,0,4975,3305
2026-03-14,星期六,中壢店,1,雨,18.5,0,5185,1985
2026-03-15,星期日,信義店,1,雨,16.1,0,6340,3400
2026-03-15,星期日,板橋店,1,雨,16.1,1,5710,4630
2026-03-15,星期日,中壢店,1,雨,16.1,1,5260,4600
2026-03-16,星期一,信義店,0,晴,18.9,0,4125,2465
2026-03-16,星期一,板橋店,0,晴,18.9,0,3700,2720
2026-03-16,星期一,中壢店,0,晴,18.9,0,1250,2100
2026-03-17,星期二,信義店,0,晴,19.0,0,3535,2585
2026-03-17,星期二,板橋店,0,晴,19.0,0,2980,2255
2026-03-17,星期二,中壢店,0,晴,19.0,0,2245,1945
2026-03-18,星期三,信義店,0,晴,19.9,0,1845,2990
2026-03-18,星期三,板橋店,0,晴,19.9,0,2355,1755
2026-03-18,星期三,中壢店,0,晴,19.9,0,2640,1785
2026-03-19,星期四,信義店,0,晴,19.4,0,5055,3895
2026-03-19,星期四,板橋店,0,晴,19.4,0,3495,3955
2026-03-19,星期四,中壢店,0,晴,19.4,0,3835,2135
2026-03-20,星期五,信義店,0,雨,14.6,0,4605,2640
2026-03-20,星期五,板橋店,0,雨,14.6,0,3180,2965
2026-03-20,星期五,中壢店,0,雨,14.6,0,1895,1680
2026-03-21,星期六,信義店,1,雨,18.5,0,3855,3130
2026-03-21,星期六,板橋店,1,雨,18.5,1,3305,3415
2026-03-21,星期六,中壢店,1,雨,18.5,0,1985,2230
2026-03-22,星期日,信義店,1,陰,21.8,0,3400,6390
2026-03-22,星期日,板橋店,1,陰,21.8,0,4630,5395
2026-03-22,星期日,中壢店,1,陰,21.8,0,4600,5640
2026-03-23,星期一,信義店,0,陰,17.8,0,2465,2240
2026-03-23,星期一,板橋店,0,陰,17.8,0,2720,1060
2026-03-23,星期一,中壢店,0,陰,17.8,0,2100,1810
2026-03-24,星期二,信義店,0,陰,16.4,1,2585,2630
2026-03-24,星期二,板橋店,0,陰,16.4,0,2255,2510
2026-03-24,星期二,中壢店,0,陰,16.4,0,1945,1185
2026-03-25,星期三,信義店,0,雨,15.8,0,2990,2765
2026-03-25,星期三,板橋店,0,雨,15.8,0,1755,2135
2026-03-25,星期三,中壢店,0,雨,15.8,0,1785,1685
2026-03-26,星期四,信義店,0,晴,22.7,0,3895,3805
2026-03-26,星期四,板橋店,0,晴,22.7,1,3955,6745
2026-03-26,星期四,中壢店,0,晴,22.7,0,2135,3510
2026-03-27,星期五,信義店,0,晴,20.5,1,2640,7610
2026-03-27,星期五,板橋店,0,晴,20.5,0,2965,2790
2026-03-27,星期五,中壢店,0,晴,20.5,0,1680,3450
2026-03-28,星期六,信義店,1,晴,19.8,0,3130,7260
2026-03-28,星期六,板橋店,1,晴,19.8,0,3415,6525
2026-03-28,星期六,中壢店,1,晴,19.8,1,2230,8160
2026-03-29,星期日,信義店,1,陰,17.3,0,6390,5340
2026-03-29,星期日,板橋店,1,陰,17.3,0,5395,3575
2026-03-29,星期日,中壢店,1,陰,17.3,0,5640,5310
2026-03-30,星期一,信義店,0,陰,20.8,0,2240,1920
2026-03-30,星期一,板橋店,0,陰,20.8,0,1060,2555
2026-03-30,星期一,中壢店,0,陰,20.8,0,1810,2875
2026-03-31,星期二,信義店,0,雨,20.3,0,2630,2430
2026-03-31,星期二,板橋店,0,雨,20.3,0,2510,2150
2026-03-31,星期二,中壢店,0,雨,20.3,1,1185,1355
2026-04-01,星期三,信義店,0,雨,20.3,0,2765,1935
2026-04-01,星期三,板橋店,0,雨,20.3,0,2135,895
2026-04-01,星期三,中壢店,0,雨,20.3,0,1685,1445
2026-04-02,星期四,信義店,0,晴,22.3,0,3805,3020
2026-04-02,星期四,板橋店,0,晴,22.3,0,6745,3140
2026-04-02,星期四,中壢店,0,晴,22.3,0,3510,2365
2026-04-03,星期五,信義店,1,晴,25.7,0,7610,7705
2026-04-03,星期五,板橋店,1,晴,25.7,0,2790,4580
2026-04-03,星期五,中壢店,1,晴,25.7,0,3450,2965
2026-04-04,星期六,信義店,1,雨,20.2,0,7260,3185
2026-04-04,星期六,板橋店,1,雨,20.2,0,6525,3560
2026-04-04,星期六,中壢店,1,雨,20.2,0,8160,2040
2026-04-05,星期日,信義店,1,雨,19.6,0,5340,3885
2026-04-05,星期日,板橋店,1,雨,19.6,0,3575,3745
2026-04-05,星期日,中壢店,1,雨,19.6,1,5310,2675
2026-04-06,星期一,信義店,1,晴,20.3,0,1920,5165
2026-04-06,星期一,板橋店,1,晴,20.3,0,2555,2050
2026-04-06,星期一,中壢店,1,晴,20.3,1,2875,3435
2026-04-07,星期二,信義店,0,雨,20.5,0,2430,2895
2026-04-07,星期二,板橋店,0,雨,20.5,0,2150,3250
2026-04-07,星期二,中壢店,0,雨,20.5,0,1355,1915
2026-04-08,星期三,信義店,0,雨,24.8,0,1935,3630
2026-04-08,星期三,板橋店,0,雨,24.8,0,895,1330
2026-04-08,星期三,中壢店,0,雨,24.8,0,1445,1790
2026-04-09,星期四,信義店,0,雨,22.3,0,3020,2335
2026-04-09,星期四,板橋店,0,雨,22.3,0,3140,2530
2026-04-09,星期四,中壢店,0,雨,22.3,0,2365,2810
2026-04-10,星期五,信義店,0,晴,24.6,0,7705,5505
2026-04-10,星期五,板橋店,0,晴,24.6,1,4580,4335
2026-04-10,星期五,中壢店,0,晴,24.6,0,2965,3600
2026-04-11,星期六,信義店,1,陰,20.0,0,3185,7290
2026-04-11,星期六,板橋店,1,陰,20.0,0,3560,5745
2026-04-11,星期六,中壢店,1,陰,20.0,0,2040,5140
2026-04-12,星期日,信義店,1,陰,23.5,0,3885,7690
