會員編號,性別,年齡,加入月數,來店次數,平均消費,距上次來店天數,會員等級,電子報,住家距離,最愛類別,回購
M0001,男,26,9,0,122,90,一般,0,2.0,咖啡,0
M0002,女,67,6,10,150,4,銀卡,0,2.0,烘焙,1
M0003,女,49,28,4,158,3,一般,0,1.9,咖啡,0
M0004,女,46,1,7,132,33,一般,1,3.0,咖啡,0
M0005,男,50,17,8,218,27,銀卡,1,1.1,咖啡,1
M0006,男,61,6,10,138,2,銀卡,1,1.8,烘焙,1
M0007,男,44,17,3,306,48,一般,0,1.3,咖啡,0
M0008,女,56,9,6,224,3,銀卡,1,2.0,茶飲,1
M0009,女,60,33,4,77,47,一般,1,6.2,茶飲,0
M0010,女,48,28,3,121,68,一般,0,6.0,咖啡,0
M0011,女,46,7,8,156,37,銀卡,1,2.2,咖啡,0
M0012,男,72,17,16,158,11,銀卡,1,3.6,咖啡,1
M0013,女,46,33,9,133,4,銀卡,1,5.4,咖啡,1
M0014,女,39,5,5,154,19,一般,1,1.7,茶飲,1
M0015,男,53,20,1,88,90,一般,1,2.8,茶飲,0
M0016,女,59,33,11,103,0,銀卡,0,3.1,咖啡,0
M0017,男,37,18,4,390,21,一般,1,0.9,咖啡,1
M0018,男,43,11,19,238,18,銀卡,1,2.2,咖啡,0
M0019,女,38,1,20,167,7,一般,0,3.7,烘焙,0
M0020,男,51,25,5,149,37,銀卡,0,0.7,咖啡,0
M0021,女,67,23,6,193,12,銀卡,1,2.1,茶飲,0
M0022,男,49,15,2,146,34,一般,0,3.3,茶飲,0
M0023,男,50,17,9,183,34,銀卡,1,2.8,咖啡,0
M0024,女,72,5,9,115,31,一般,0,9.8,咖啡,0
M0025,男,63,7,13,160,17,銀卡,0,3.6,茶飲,0
M0026,男,44,24,7,112,0,銀卡,0,2.8,烘焙,0
M0027,女,49,21,12,222,5,金卡,0,4.2,咖啡,1
M0028,女,38,1,7,170,2,一般,1,1.7,茶飲,1
M0029,女,53,5,15,171,5,一般,1,2.7,茶飲,0
M0030,女,72,13,3,160,0,一般,1,2.1,茶飲,1
M0031,女,47,17,6,128,16,銀卡,1,3.2,烘焙,1
M0032,男,58,5,6,186,5,一般,1,2.4,咖啡,0
M0033,女,58,2,2,119,4,一般,0,5.0,烘焙,0
M0034,男,56,9,7,157,17,銀卡,0,1.8,咖啡,0
M0035,男,72,19,2,112,36,一般,1,1.8,烘焙,0
M0036,女,65,16,17,179,3,銀卡,0,8.4,咖啡,1
M0037,女,62,6,11,240,39,銀卡,1,4.3,咖啡,1
M0038,女,72,3,20,160,7,一般,0,3.9,烘焙,1
M0039,女,44,14,6,112,42,銀卡,1,4.2,烘焙,0
M0040,男,67,14,1,189,17,一般,0,2.3,烘焙,0
M0041,女,72,5,6,285,25,一般,0,4.1,茶飲,0
M0042,男,64,32,9,152,14,銀卡,0,3.8,烘焙,0
M0043,女,34,26,6,202,33,銀卡,1,4.2,咖啡,1
M0044,女,56,25,15,146,9,金卡,1,3.3,咖啡,1
M0045,男,49,27,13,140,25,金卡,1,2.7,咖啡,1
M0046,男,72,15,6,131,17,銀卡,1,7.5,茶飲,1
M0047,男,65,36,2,209,43,一般,1,5.6,烘焙,0
M0048,女,62,16,10,162,12,銀卡,1,4.0,茶飲,1
M0049,男,55,11,14,164,7,銀卡,1,1.1,茶飲,1
M0050,男,64,34,3,211,28,一般,1,1.6,咖啡,1
M0051,女,31,10,7,124,7,銀卡,1,0.6,茶飲,1
M0052,男,58,9,6,145,24,銀卡,1,4.9,咖啡,0
M0053,女,38,33,12,180,0,金卡,1,1.8,咖啡,1
M0054,女,42,24,11,109,2,銀卡,1,1.8,咖啡,0
M0055,女,67,21,22,114,3,金卡,1,1.3,烘焙,1
M0056,女,58,24,8,143,22,銀卡,1,3.0,咖啡,1
M0057,女,69,4,14,201,0,一般,1,2.9,咖啡,1
M0058,男,54,21,4,222,23,一般,1,4.5,咖啡,1
M0059,男,54,36,37,172,0,金卡,0,1.9,咖啡,1
M0060,女,43,35,6,136,53,銀卡,0,5.2,茶飲,0
M0061,女,42,8,8,193,13,銀卡,1,1.8,咖啡,1
M0062,男,69,32,33,223,0,金卡,1,1.2,咖啡,1
M0063,男,52,3,19,154,4,一般,1,7.2,烘焙,1
M0064,男,72,28,11,210,2,銀卡,0,7.8,茶飲,0
M0065,女,48,27,5,183,13,銀卡,1,8.4,咖啡,1
M0066,男,54,23,4,286,16,一般,1,2.6,烘焙,1
M0067,男,55,29,8,117,19,銀卡,0,1.9,咖啡,0
M0068,男,41,25,3,156,5,一般,1,0.6,茶飲,1
M0069,男,67,1,4,180,20,一般,1,4.7,咖啡,1
M0070,女,48,5,10,135,38,一般,1,0.9,咖啡,0
M0071,男,59,30,6,65,6,銀卡,1,5.1,烘焙,1
M0072,女,48,22,7,152,0,銀卡,1,3.4,咖啡,0
M0073,女,48,28,7,120,11,銀卡,1,1.5,咖啡,1
M0074,女,49,36,4,324,15,一般,1,2.8,咖啡,1
M0075,女,40,17,15,105,2,銀卡,1,4.4,烘焙,1
M0076,男,51,6,24,119,4,銀卡,1,3.2,咖啡,1
M0077,女,52,19,7,339,86,銀卡,1,0.9,咖啡,0
M0078,男,45,33,5,161,25,銀卡,0,3.8,咖啡,1
M0079,男,54,5,8,120,9,一般,0,5.4,咖啡,0
M0080,女,53,12,3,95,18,一般,1,3.2,烘焙,0
M0081,男,38,19,21,178,1,金卡,1,8.0,咖啡,1
M0082,女,62,7,5,90,2,銀卡,1,2.8,烘焙,1
M0083,女,72,23,2,202,43,一般,0,1.7,茶飲,0
M0084,男,32,24,4,133,27,一般,1,8.6,咖啡,0
M0085,女,42,31,6,175,3,銀卡,1,4.1,咖啡,1
M0086,男,72,35,1,240,86,一般,0,1.6,茶飲,0
M0087,女,50,10,6,130,21,銀卡,1,3.5,咖啡,0
M0088,女,49,23,10,231,16,銀卡,1,4.5,茶飲,1
M0089,女,47,22,2,141,54,一般,0,2.5,烘焙,0
M0090,女,72,18,23,179,9,金卡,1,4.3,烘焙,1
M0091,男,56,31,3,92,20,一般,1,6.1,烘焙,0
M0092,女,49,18,3,141,23,一般,0,2.0,烘焙,0
M0093,女,42,1,10,212,6,一般,0,0.5,咖啡,1
M0094,女,49,2,3,135,9,一般,0,2.5,咖啡,0
M0095,女,47,3,13,165,3,一般,0,3.9,茶飲,0
M0096,女,52,32,7,120,90,銀卡,0,7.2,茶飲,0
M0097,男,72,5,5,193,15,一般,0,3.0,咖啡,1
M0098,男,47,35,13,103,0,金卡,1,6.7,茶飲,0
M0099,女,59,24,15,167,0,金卡,1,2.5,咖啡,1
M0100,男,62,26,9,124,0,銀卡,0,3.2,茶飲,0
M0101,男,71,6,3,195,38,一般,0,1.8,咖啡,0
M0102,男,72,4,5,118,15,一般,0,2.1,烘焙,0
M0103,男,40,33,6,212,0,銀卡,1,5.0,茶飲,1
M0104,男,45,4,3,165,6,一般,0,2.3,烘焙,0
M0105,女,49,36,7,148,0,銀卡,0,3.4,烘焙,1
M0106,女,65,33,3,222,2,一般,1,0.8,茶飲,0
