訂單編號,日期,星期,分店,時段,天氣,會員編號,品項,類別,數量,單價,金額
A23367,2026-08-23,星期日,信義店,下午,雨,,抹茶拿鐵,茶飲,2,100,200.0
A23497,2026-08-25,星期二,板橋店,早上,雨,,拿鐵,咖啡,1,90,90.0
A23159,2026-08-21,星期五,信義店,下午,陰,M0005,起司蛋糕,烘焙,2,120,240.0
A23116,2026-08-20,星期四,板橋店,下午,晴,,拿鐵,咖啡,2,90,180.0
A22795,2026-08-16,星期日,信義店,早上,陰,,肉桂捲,烘焙,2,85,170.0
A22273,2026-08-10,星期一,板橋店,下午,晴,,拿鐵,咖啡,1,90,90.0
A21594,20260802,星期日,信義店,下午,陰,M0232,美式咖啡,咖啡,3,70,210.0
A21702,2026-08-03,星期一,板橋店,晚上,晴,,紅茶,茶飲,2,50,100.0
A23466,2026-08-24,星期一,中壢店,早上,晴,M1172,拿鐵,咖啡,1,90,90.0
A23487,2026-08-25,星期二,信義店,下午,雨,M0754,拿鐵,咖啡,3,90,270.0
A21642,2026-08-02,星期日,中壢店,早上,陰,M1982,美式咖啡,咖啡,1,70,70.0
A22590,2026-08-14,星期五,中壢店,下午,晴,,可頌,烘焙,2,60,120.0
A22953,2026/08/18,星期二,信義店,下午,陰,M1104,肉桂捲,烘焙,1,85,85.0
A22564,2026-08-14,星期五,板橋店,下午,晴,,起司蛋糕,烘焙,1,120,120.0
A22730,2026-08-15,星期六,板橋店,早上,晴,M1278,美式咖啡,咖啡,10,70,700.0
A21991,2026-08-07,星期五,板橋店,下午,晴,,卡布奇諾,咖啡,2,95,190.0
A22572,2026-08-14,星期五,板橋店,下午,晴,M1070,可頌,烘焙,1,60,60.0
A21815,2026-08-05,星期三,板橋店,晚上,雨,,卡布奇諾,咖啡,1,95,95.0
A23960,20260830,星期日,中壢店,早上,晴,M1772,抹茶拿鐵,茶飲,2,100,200.0
A21550,2026-08-01,星期六,中壢店,下午,雨,M0717,卡布奇諾,咖啡,1,95,95.0
A22305,2026-08-10,星期一,中壢店,下午,晴,M1976,拿鐵,咖啡,1,90,90.0
A22603,2026-08-14,星期五,中壢店,晚上,晴,M1059,拿鐵,咖啡,1,90,90.0
A22214,2026-08-09,星期日,中壢店,下午,晴,,起司蛋糕,烘焙,2,120,240.0
