default,student,balance,income
No,Yes,1071.998307,24457.867245
No,Yes,1319.13336,26443.39458
No,No,461.147031,47572.102536
No,Yes,862.331705,5987.33166
No,No,430.702266,28187.152863
No,No,814.769803,52762.261655
No,No,672.801973,33360.880802
No,No,777.257343,23715.688546
No,No,530.718511,51480.172497
No,No,687.35489,52713.550784
No,Yes,382.460315,8611.830754
No,Yes,677.901143,18380.576635
No,Yes,889.401739,27403.65306
No,No,673.46969,37696.765975
No,No,356.530313,37622.190393
No,No,1255.515633,49942.97765
No,Yes,713.481909,10866.971443
No,No,1124.949685,48778.22458
No,No,581.014753,45279.57931
No,No,1599.81279,38642.832827
No,No,81.882135,24103.794679
No,No,960.970154,35346.052671
No,No,877.703024,40990.672371
No,No,510.85937,55569.071574
No,No,605.275365,38554.167992
No,No,618.99839,55790.698871
No,No,1020.431606,45540.21189
No,Yes,749.220907,12817.946242
No,No,461.938158,46828.773176
No,Yes,354.396839,15833.77261
No,No,252.243944,20552.482342
No,No,628.34533,35911.383876
No,Yes,5.786867,24834.407993
No,No,875.000127,32891.500439
No,No,830.475031,55809.497686
No,Yes,729.322506,21089.446799
No,No,1145.239168,49393.930549
No,No,819.812152,34574.355037
No,No,717.324428,50827.766122
No,Yes,1645.72902,18761.545064
No,Yes,1329.630852,9537.540599
No,No,959.645167,37902.619548
No,Yes,1031.024089,5000.0
No,No,670.932675,46974.172406
No,No,844.873148,37827.173262
No,Yes,402.595884,25204.809561
No,Yes,706.840674,20545.848325
Yes,Yes,2265.795585,20094.744169
No,No,1277.418814,26195.830165
No,No,1000.684161,49509.246615
No,No,730.740856,32316.401228
No,No,1138.860312,38278.109602
No,No,1149.941911,49916.270731
No,Yes,1073.422141,21012.75886
No,Yes,990.172006,24625.633865
No,No,1065.192731,49622.121996
No,No,1194.981789,26638.040735
No,Yes,848.083804,5000.0
No,Yes,201.210446,7855.276544
No,No,1050.179354,47722.481497
No,No,1128.503755,36204.770635
No,Yes,895.313616,11542.056934
No,No,755.295773,44126.542201
No,Yes,900.723276,24621.307207
No,No,1276.806127,47219.426282
No,No,856.907019,36267.057291
No,No,1175.141289,49885.37961
No,Yes,989.814074,9523.400566
No,No,389.047338,32184.211528
Yes,No,2213.271936,60461.713302
No,No,1131.169306,41316.714741
No,No,1186.390307,49889.104857
No,No,0.0,42402.910289
No,Yes,1478.326999,13536.615495
No,No,819.230599,68865.702253
No,No,983.22032,34542.588279
No,No,6.60577,39120.565433
No,Yes,365.901265,16759.68239
No,No,400.622035,52249.265732
No,No,590.111529,59689.171474
No,No,493.245053,41108.839705
No,Yes,966.162491,40497.401319
No,Yes,799.227594,20593.590293
No,No,639.464082,59901.667295
No,No,556.171969,52391.415158
No,No,208.455436,47104.266989
No,No,1152.010523,40585.348171
No,Yes,0.0,30028.095462
No,No,1255.638873,52619.969379
No,No,1178.281433,39253.363328
No,No,1391.500509,47390.949916
No,No,1395.013789,14312.292988
No,No,633.343923,47876.334553
No,No,314.792268,43340.810933
No,Yes,1176.849402,5000.0
No,No,249.804807,51673.043006
No,No,1328.205761,23422.034085
Yes,Yes,1291.575151,5000.0
No,Yes,812.974729,39773.552937
No,No,617.628087,37846.575343
No,No,525.698395,33537.419233
No,Yes,880.486538,20880.643559
No,No,932.800884,47086.771737
No,No,1299.620071,50500.825368
No,No,978.031397,40773.567547
No,Yes,900.00571,16340.565551
No,No,771.181254,41960.27864
No,No,1127.231526,45035.095787
No,No,0.0,55135.781225
No,Yes,1185.181352,15696.080458
No,No,501.80873,42648.846279
No,No,967.481673,42439.653689
No,Yes,826.574384,15415.311086
No,No,1008.31648,36563.834696
