日期,星期,分店,假日,天氣,氣溫,促銷,上週同日營收
2026-09-01,星期二,信義店,0,晴,29.1,0,2445
2026-09-01,星期二,板橋店,0,晴,29.1,0,2495
2026-09-01,星期二,中壢店,0,晴,29.1,0,1230
2026-09-02,星期三,信義店,0,晴,27.9,1,3825
2026-09-02,星期三,板橋店,0,晴,27.9,0,1930
2026-09-02,星期三,中壢店,0,晴,27.9,0,2885
2026-09-03,星期四,信義店,0,雨,26.5,0,5090
2026-09-03,星期四,板橋店,0,雨,26.5,1,1805
2026-09-03,星期四,中壢店,0,雨,26.5,0,3110
2026-09-04,星期五,信義店,0,晴,27.2,0,5885
2026-09-04,星期五,板橋店,0,晴,27.2,0,4490
2026-09-04,星期五,中壢店,0,晴,27.2,0,3305
2026-09-05,星期六,信義店,1,陰,26.8,0,6920
2026-09-05,星期六,板橋店,1,陰,26.8,0,4930
2026-09-05,星期六,中壢店,1,陰,26.8,0,4460
2026-09-06,星期日,信義店,1,雨,26.7,0,3950
2026-09-06,星期日,板橋店,1,雨,26.7,0,6155
2026-09-06,星期日,中壢店,1,雨,26.7,0,4685
2026-09-07,星期一,信義店,0,晴,30.0,0,4395
2026-09-07,星期一,板橋店,0,晴,30.0,0,3460
2026-09-07,星期一,中壢店,0,晴,30.0,0,2220
