會員編號,性別,年齡,加入月數,來店次數,平均消費,距上次來店天數,會員等級,電子報,住家距離,最愛類別
M2001,女,66,22,12,195,16,金卡,0,0.8,咖啡
M2002,女,40,35,3,163,90,一般,0,4.9,烘焙
M2003,男,56,2,7,224,42,一般,1,5.5,咖啡
M2004,女,49,7,7,253,33,銀卡,1,0.5,咖啡
M2005,男,72,15,9,231,1,銀卡,1,1.7,茶飲
M2006,女,51,9,2,263,63,一般,0,7.1,烘焙
M2007,女,57,1,11,222,54,一般,1,6.3,咖啡
M2008,女,46,33,13,208,0,金卡,1,2.0,烘焙
M2009,男,67,18,11,180,3,銀卡,0,3.4,咖啡
M2010,女,41,33,11,170,20,銀卡,0,5.8,茶飲
M2011,女,29,30,1,143,18,一般,1,10.8,咖啡
M2012,女,72,25,9,103,73,銀卡,1,3.4,咖啡
M2013,女,50,13,7,148,16,銀卡,1,3.1,茶飲
M2014,女,51,2,16,156,5,一般,0,1.1,咖啡
M2015,女,42,32,9,162,25,銀卡,1,3.1,咖啡
M2016,男,58,6,4,230,3,一般,0,3.2,咖啡
M2017,男,50,29,7,123,66,銀卡,1,1.4,咖啡
M2018,男,72,31,5,173,31,銀卡,0,2.0,咖啡
M2019,女,72,15,11,192,16,銀卡,1,6.6,咖啡
M2020,女,72,11,5,140,30,銀卡,0,3.7,咖啡
M2021,女,43,27,11,156,3,銀卡,0,0.6,烘焙
M2022,女,67,31,6,179,22,銀卡,1,0.8,咖啡
M2023,女,57,29,4,175,17,一般,1,2.1,咖啡
M2024,女,70,4,12,300,11,一般,1,8.1,茶飲
M2025,男,44,10,5,264,35,銀卡,0,3.4,烘焙
M2026,男,58,24,14,143,8,金卡,1,3.0,咖啡
M2027,女,57,35,9,152,23,銀卡,1,1.8,茶飲
M2028,男,72,5,14,160,28,一般,0,5.9,咖啡
M2029,男,42,6,5,222,33,銀卡,0,12.7,咖啡
M2030,男,55,3,5,144,6,一般,1,4.5,咖啡
M2031,女,72,27,5,111,12,銀卡,0,4.7,茶飲
M2032,男,70,26,3,186,18,一般,1,2.7,咖啡
M2033,女,63,34,6,177,4,銀卡,0,1.7,烘焙
M2034,女,72,27,1,97,78,一般,1,4.6,茶飲
M2035,女,57,35,7,120,14,銀卡,0,7.1,茶飲
M2036,女,52,27,15,109,6,金卡,1,5.2,咖啡
M2037,女,70,14,10,69,4,銀卡,0,2.6,茶飲
M2038,女,57,34,2,174,12,一般,1,2.3,烘焙
M2039,男,47,18,6,168,4,銀卡,1,3.3,烘焙
M2040,女,33,5,2,280,2,一般,0,1.5,咖啡
M2041,女,38,24,20,134,20,金卡,1,4.2,咖啡
M2042,男,39,8,24,258,4,銀卡,1,2.2,咖啡
M2043,女,47,21,13,191,0,金卡,1,3.6,烘焙
M2044,女,46,5,13,202,14,一般,0,1.8,烘焙
M2045,男,50,34,12,155,40,金卡,0,1.4,咖啡
M2046,女,36,31,0,116,90,一般,0,3.1,茶飲
M2047,男,45,5,5,132,39,一般,0,18.8,烘焙
M2048,女,65,22,8,189,5,銀卡,1,2.6,烘焙
M2049,男,59,1,2,98,41,一般,1,2.7,咖啡
M2050,女,57,1,6,65,15,一般,0,0.8,茶飲
M2051,男,46,29,4,118,69,一般,0,1.2,茶飲
M2052,男,69,36,1,117,90,一般,1,6.0,咖啡
M2053,女,41,26,9,102,3,銀卡,0,3.1,咖啡
M2054,男,31,1,6,299,33,一般,1,1.2,咖啡
M2055,女,43,11,10,232,0,銀卡,1,3.0,咖啡
M2056,女,49,19,10,131,5,銀卡,1,3.4,茶飲
M2057,女,47,22,8,166,30,銀卡,1,2.0,咖啡
M2058,女,47,30,3,186,57,一般,1,2.7,茶飲
M2059,男,72,24,7,147,39,銀卡,1,4.7,茶飲
M2060,女,58,31,13,173,1,金卡,1,1.9,咖啡
M2061,女,68,33,13,163,27,金卡,1,2.8,咖啡
M2062,女,55,20,6,250,53,銀卡,1,0.8,咖啡
M2063,女,68,36,11,217,7,銀卡,1,1.0,茶飲
M2064,男,51,6,4,254,58,一般,0,6.5,烘焙
M2065,女,69,5,14,129,6,一般,0,1.8,茶飲
M2066,女,52,21,4,137,20,一般,0,1.2,咖啡
M2067,女,49,22,14,230,15,金卡,0,2.5,咖啡
M2068,男,60,36,6,89,5,銀卡,1,2.9,茶飲
M2069,男,48,20,4,165,63,一般,0,3.5,咖啡
M2070,男,56,7,5,119,16,銀卡,1,1.4,咖啡
M2071,女,54,12,6,137,25,銀卡,0,11.0,咖啡
M2072,女,47,15,3,227,46,一般,1,3.2,咖啡
M2073,女,59,11,5,104,26,銀卡,1,6.1,烘焙
M2074,男,59,27,6,163,15,銀卡,1,1.3,茶飲
M2075,女,59,19,6,155,3,銀卡,1,4.0,咖啡
M2076,女,57,12,1,155,90,一般,1,6.9,咖啡
M2077,女,57,35,3,218,24,一般,1,5.6,茶飲
M2078,男,49,25,3,252,11,一般,0,2.0,咖啡
M2079,女,59,7,6,148,34,銀卡,0,7.7,咖啡
M2080,男,45,6,4,162,5,一般,0,2.0,茶飲
M2081,女,61,2,3,144,1,一般,1,5.2,咖啡
M2082,男,57,16,9,235,5,銀卡,0,0.5,烘焙
M2083,男,54,32,4,156,72,一般,1,2.7,茶飲
M2084,男,44,15,9,117,6,銀卡,0,2.1,茶飲
M2085,女,53,17,1,121,90,一般,0,2.6,烘焙
M2086,女,45,4,2,218,6,一般,1,6.0,烘焙
M2087,女,48,10,4,166,13,一般,1,1.4,咖啡
M2088,男,65,19,9,198,0,銀卡,1,1.9,咖啡
M2089,男,47,22,4,192,54,一般,1,4.1,烘焙
M2090,女,54,3,4,175,90,一般,0,1.4,咖啡
M2091,女,62,2,24,178,0,一般,1,3.1,茶飲
M2092,男,60,13,6,165,13,銀卡,0,5.9,茶飲
M2093,男,72,15,9,156,38,銀卡,1,1.7,茶飲
M2094,男,51,6,1,173,23,一般,1,0.9,烘焙
M2095,男,56,9,7,201,17,銀卡,1,9.2,茶飲
M2096,男,51,1,3,118,5,一般,0,3.5,烘焙
M2097,女,64,28,12,151,4,金卡,1,6.7,茶飲
M2098,女,68,28,6,140,33,銀卡,0,4.4,咖啡
M2099,男,64,26,2,354,22,一般,1,1.9,茶飲
M2100,男,61,8,6,237,25,銀卡,0,7.6,咖啡
M2101,男,57,23,9,143,31,銀卡,0,8.6,茶飲
M2102,女,72,32,10,103,2,銀卡,0,3.7,烘焙
M2103,女,47,31,2,277,63,一般,1,1.0,烘焙
M2104,男,49,9,1,180,90,一般,0,5.3,咖啡
M2105,女,44,12,8,210,39,銀卡,0,3.3,咖啡
M2106,女,51,10,7,216,0,銀卡,1,1.4,咖啡
M2107,女,55,15,4,136,13,一般,1,1.5,咖啡
M2108,女,45,9,5,218,8,銀卡,0,1.6,咖啡
M2109,男,58,20,1,173,65,一般,1,5.1,咖啡
M2110,男,56,27,2,181,13,一般,1,4.3,茶飲
M2111,女,72,12,2,143,22,一般,0,2.9,茶飲
M2112,男,52,32,4,194,0,一般,1,0.3,茶飲
M2113,男,44,24,43,166,2,金卡,0,4.4,茶飲
M2114,女,67,14,11,99,8,銀卡,1,0.8,茶飲
M2115,女,51,10,4,127,41,一般,1,7.2,咖啡
M2116,男,72,9,4,187,10,一般,1,6.5,茶飲
M2117,女,54,24,14,132,7,金卡,0,1.1,咖啡
M2118,女,62,35,5,145,49,銀卡,0,2.5,茶飲
M2119,男,44,14,5,274,78,銀卡,0,6.1,茶飲
M2120,男,49,4,3,171,9,一般,1,19.2,茶飲
M2121,男,56,19,5,102,9,銀卡,1,0.9,烘焙
M2122,女,56,10,1,163,42,一般,0,2.4,咖啡
M2123,男,46,1,13,198,0,一般,1,3.3,烘焙
M2124,男,56,3,7,112,64,一般,0,1.3,咖啡
M2125,男,52,27,2,342,6,一般,0,1.5,烘焙
M2126,女,58,5,13,140,3,一般,0,5.4,咖啡
M2127,男,68,19,26,205,0,金卡,1,3.8,咖啡
M2128,女,72,2,12,174,6,一般,1,5.1,咖啡
M2129,男,36,21,14,150,9,金卡,1,2.7,咖啡
M2130,女,57,14,2,101,22,一般,1,2.4,茶飲
M2131,男,72,3,8,166,39,一般,1,9.4,咖啡
M2132,男,62,10,7,293,56,銀卡,0,5.1,茶飲
M2133,男,54,36,3,87,17,一般,0,2.4,咖啡
M2134,男,63,8,16,216,9,銀卡,0,1.0,咖啡
M2135,男,53,3,15,169,34,一般,0,2.7,茶飲
M2136,男,40,6,2,209,90,一般,0,2.9,咖啡
M2137,女,49,26,2,126,10,一般,0,2.7,茶飲
M2138,女,69,33,13,133,5,金卡,0,2.2,咖啡
M2139,男,44,4,8,147,3,一般,1,3.7,咖啡
M2140,女,53,32,1,155,28,一般,1,4.8,咖啡
M2141,男,42,18,6,142,41,銀卡,1,2.1,咖啡
M2142,女,42,10,8,192,67,銀卡,1,4.0,茶飲
M2143,女,72,34,4,141,0,一般,1,1.5,咖啡
M2144,女,61,33,3,137,2,一般,1,13.5,烘焙
M2145,男,62,21,11,123,5,銀卡,0,3.8,咖啡
M2146,女,45,33,7,146,5,銀卡,0,4.3,烘焙
M2147,女,65,1,6,191,14,一般,1,14.0,烘焙
M2148,女,47,19,4,167,0,一般,0,1.3,茶飲
M2149,女,54,14,4,262,5,一般,0,4.8,茶飲
M2150,女,44,13,8,99,10,銀卡,1,4.2,茶飲
M2151,女,48,26,25,261,6,金卡,0,1.4,茶飲
M2152,女,39,17,16,199,4,銀卡,0,1.7,咖啡
M2153,男,53,28,3,153,90,一般,1,4.4,茶飲
M2154,女,43,9,5,155,25,銀卡,1,1.1,烘焙
M2155,男,57,6,10,115,4,銀卡,0,1.7,茶飲
M2156,女,41,25,3,167,8,一般,1,3.4,茶飲
M2157,男,46,32,1,112,90,一般,0,3.6,咖啡
M2158,男,55,1,10,127,9,一般,0,2.2,茶飲
M2159,女,65,9,11,145,7,銀卡,1,5.1,咖啡
M2160,女,72,23,14,90,14,金卡,1,1.5,咖啡
M2161,男,51,15,1,128,90,一般,1,3.1,烘焙
M2162,女,61,2,12,162,21,一般,1,4.2,烘焙
M2163,男,72,7,9,147,15,銀卡,0,1.6,咖啡
M2164,女,60,23,7,130,52,銀卡,1,4.3,咖啡
M2165,女,72,23,10,138,32,銀卡,0,6.7,咖啡
M2166,女,35,35,17,160,5,金卡,0,2.2,咖啡
M2167,女,43,2,8,179,6,一般,1,0.6,咖啡
M2168,女,61,20,12,151,0,金卡,0,3.5,咖啡
M2169,女,57,33,11,179,1,銀卡,1,3.0,咖啡
M2170,男,44,14,13,211,4,銀卡,0,6.9,烘焙
M2171,女,64,5,14,256,5,一般,0,4.2,咖啡
M2172,男,62,33,12,152,16,金卡,1,2.9,咖啡
M2173,女,72,20,17,183,12,金卡,0,1.0,烘焙
M2174,女,38,14,8,206,0,銀卡,1,2.6,咖啡
M2175,男,42,22,8,244,10,銀卡,1,2.5,咖啡
M2176,女,70,31,20,213,8,金卡,1,5.7,咖啡
M2177,女,54,14,11,202,6,銀卡,1,4.1,咖啡
M2178,女,48,2,4,194,11,一般,1,0.8,咖啡
M2179,女,49,1,5,218,35,一般,1,2.4,咖啡
M2180,女,56,10,25,175,3,銀卡,1,1.9,烘焙
M2181,男,47,15,5,147,52,銀卡,1,2.7,茶飲
M2182,女,72,30,7,197,61,銀卡,1,1.6,咖啡
M2183,男,43,34,16,143,2,金卡,1,2.9,烘焙
M2184,女,47,19,9,165,5,銀卡,0,12.6,咖啡
M2185,女,72,4,10,195,9,一般,0,0.7,烘焙
M2186,男,69,4,7,150,19,一般,1,1.8,咖啡
M2187,女,51,14,15,168,7,銀卡,1,2.2,咖啡
M2188,男,63,2,31,311,0,一般,1,2.1,茶飲
M2189,女,39,8,6,212,10,銀卡,0,2.1,烘焙
M2190,女,62,4,2,127,73,一般,0,3.0,茶飲
M2191,女,39,12,4,231,2,一般,1,1.2,咖啡
M2192,女,39,33,6,168,12,銀卡,1,4.8,咖啡
M2193,男,39,15,3,119,16,一般,1,1.1,烘焙
M2194,男,57,8,7,134,34,銀卡,0,3.2,咖啡
M2195,男,57,21,9,178,12,銀卡,1,2.7,咖啡
M2196,女,66,26,4,128,6,一般,0,1.1,咖啡
M2197,女,56,36,11,200,4,銀卡,0,4.3,茶飲
M2198,女,57,16,14,237,5,銀卡,1,6.4,咖啡
M2199,女,64,1,6,218,52,一般,0,8.4,咖啡
M2200,女,62,29,11,168,7,銀卡,1,3.1,咖啡
M2201,女,48,35,8,126,19,銀卡,0,2.5,咖啡
M2202,女,64,13,3,124,3,一般,1,6.4,咖啡
M2203,女,38,8,11,98,13,銀卡,1,6.8,茶飲
M2204,男,66,19,2,243,17,一般,1,2.9,茶飲
M2205,女,72,4,9,132,23,一般,1,15.1,咖啡
M2206,女,52,19,4,161,17,一般,1,3.7,咖啡
M2207,女,35,12,3,267,11,一般,1,1.1,咖啡
M2208,女,55,6,5,342,9,銀卡,0,5.0,茶飲
M2209,女,68,30,23,136,6,金卡,1,2.1,茶飲
M2210,女,65,20,8,107,27,銀卡,0,8.1,咖啡
M2211,男,70,8,3,130,24,一般,0,1.9,咖啡
M2212,男,38,30,8,285,8,銀卡,0,1.5,茶飲
M2213,女,72,17,25,119,0,銀卡,1,1.0,咖啡
M2214,女,72,33,5,112,7,銀卡,0,8.4,茶飲
M2215,女,50,10,4,146,20,一般,1,3.4,咖啡
M2216,男,53,35,8,192,4,銀卡,0,2.7,咖啡
M2217,女,55,1,18,289,10,一般,0,4.2,咖啡
M2218,男,69,29,1,174,60,一般,1,3.3,茶飲
M2219,女,64,24,3,181,90,一般,1,2.0,咖啡
M2220,男,70,10,10,114,7,銀卡,1,13.7,咖啡
M2221,女,67,25,2,124,8,一般,0,1.2,咖啡
M2222,男,42,9,7,143,0,銀卡,1,2.1,咖啡
M2223,男,46,23,4,209,13,一般,0,4.3,咖啡
M2224,男,50,25,12,178,21,金卡,1,8.3,烘焙
M2225,男,64,22,4,147,11,一般,0,8.8,咖啡
M2226,女,47,36,5,199,35,銀卡,1,1.8,烘焙
M2227,女,40,2,2,153,69,一般,0,4.8,茶飲
M2228,女,41,13,8,205,8,銀卡,0,1.6,烘焙
M2229,男,64,36,1,182,22,一般,1,0.6,烘焙
M2230,男,66,30,10,105,13,銀卡,1,1.3,茶飲
M2231,女,48,31,7,206,42,銀卡,1,6.7,茶飲
M2232,女,42,20,6,186,66,銀卡,0,1.0,咖啡
M2233,男,47,28,10,223,15,銀卡,1,2.6,咖啡
