mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
37.9,8,245.7,124.4,3247.0,17.0,78,3,synthetic-auto-0001
27.4,8,302.2,159.8,4281.0,19.4,75,1,synthetic-auto-0002
33.5,6,177.6,127.0,2498.0,14.0,74,1,synthetic-auto-0003
42.5,4,169.7,83.0,3072.0,19.0,82,1,synthetic-auto-0004
42.3,8,248.2,116.8,3119.0,21.0,81,1,synthetic-auto-0005
48.0,4,65.0,65.0,1600.0,13.6,82,1,synthetic-auto-0006
43.7,4,113.2,99.3,2293.0,17.5,81,1,synthetic-auto-0007
35.6,6,209.4,100.8,2713.0,16.8,75,2,synthetic-auto-0008
38.1,6,173.1,107.5,2534.0,18.6,75,1,synthetic-auto-0009
47.9,4,93.1,54.9,1954.0,19.5,82,1,synthetic-auto-0010
38.2,6,207.2,121.8,2661.0,17.5,73,1,synthetic-auto-0011
43.7,6,116.7,63.4,2131.0,18.8,72,3,synthetic-auto-0012
34.5,8,214.2,95.9,3269.0,17.2,73,1,synthetic-auto-0013
34.2,8,214.7,117.7,2825.0,16.1,70,1,synthetic-auto-0014
47.7,4,93.9,47.6,1807.0,15.4,78,2,synthetic-auto-0015
39.0,4,156.9,92.0,2351.0,18.6,73,1,synthetic-auto-0016
46.7,4,73.7,70.1,1628.0,17.9,78,1,synthetic-auto-0017
48.0,4,80.4,46.1,1857.0,18.4,81,1,synthetic-auto-0018
38.9,6,148.5,97.9,2603.0,13.8,74,3,synthetic-auto-0019
46.6,4,65.0,65.0,2045.0,17.4,82,1,synthetic-auto-0020
41.1,4,78.6,64.9,1993.0,17.6,73,1,synthetic-auto-0021
44.7,4,98.8,66.9,1600.0,14.6,73,1,synthetic-auto-0022
40.4,4,65.0,53.6,1686.0,16.2,70,1,synthetic-auto-0023
39.5,8,278.1,153.5,3796.0,16.0,82,2,synthetic-auto-0024
39.0,6,170.4,79.0,2460.0,15.3,74,3,synthetic-auto-0025
43.5,6,98.2,65.6,2050.0,16.4,75,1,synthetic-auto-0026
40.2,4,81.7,76.3,1640.0,15.8,70,1,synthetic-auto-0027
36.8,4,186.6,96.1,3424.0,18.2,76,2,synthetic-auto-0028
39.5,4,142.2,90.2,1862.0,13.4,74,1,synthetic-auto-0029
33.4,8,274.4,142.1,3635.0,18.8,76,3,synthetic-auto-0030
34.1,6,274.0,154.9,3487.0,17.7,78,2,synthetic-auto-0031
36.2,4,118.1,77.6,2498.0,17.5,73,2,synthetic-auto-0032
37.9,4,161.3,102.5,2822.0,17.6,74,2,synthetic-auto-0033
41.6,4,65.0,48.6,2100.0,15.0,76,1,synthetic-auto-0034
39.6,4,142.6,89.7,2965.0,19.6,78,1,synthetic-auto-0035
37.1,4,130.5,87.7,2089.0,13.8,73,3,synthetic-auto-0036
48.0,4,101.4,89.4,2003.0,16.6,82,1,synthetic-auto-0037
46.4,4,103.8,69.7,2295.0,18.0,81,3,synthetic-auto-0038
42.8,4,130.3,78.1,1959.0,18.5,70,3,synthetic-auto-0039
44.2,6,166.3,85.3,2603.0,20.5,82,1,synthetic-auto-0040
39.8,4,160.0,90.4,2502.0,15.2,77,3,synthetic-auto-0041
41.4,4,188.5,107.0,2623.0,13.4,82,3,synthetic-auto-0042
42.5,6,194.4,104.9,2984.0,18.4,81,2,synthetic-auto-0043
41.3,4,163.2,104.0,2770.0,14.9,81,2,synthetic-auto-0044
46.2,4,84.2,58.8,2234.0,15.6,79,2,synthetic-auto-0045
