ID,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance
1,42.851,4180,226,6,57,12,Male,No,Yes,Asian,566
2,67.258,5009,299,7,35,10,Male,Yes,Yes,Asian,361
3,42.132,3976,301,6,65,14,Male,No,No,Caucasian,704
4,67.755,4140,268,2,62,8,Female,No,No,Asian,156
5,57.065,6277,420,6,27,20,Male,Yes,Yes,African American,967
6,73.648,6052,343,4,32,13,Male,Yes,No,Asian,681
7,86.312,4581,321,1,42,16,Female,No,Yes,Asian,511
8,63.193,5329,352,7,58,20,Male,No,Yes,Caucasian,610
9,87.104,6556,451,5,44,10,Male,No,Yes,Asian,526
10,68.57,6099,433,5,55,8,Male,No,Yes,Caucasian,629
11,85.075,5546,244,3,63,11,Male,No,Yes,Asian,293
12,35.774,3067,249,7,70,12,Female,No,Yes,Asian,175
13,33.557,4192,287,3,25,8,Male,No,Yes,African American,571
14,28.582,3997,253,4,69,18,Male,No,No,African American,342
15,95.984,4342,319,7,25,18,Female,No,Yes,African American,430
16,28.051,4193,259,5,49,10,Male,No,Yes,Caucasian,335
17,26.398,2842,180,4,29,8,Male,Yes,Yes,African American,242
18,68.353,4941,324,2,51,10,Female,No,Yes,Caucasian,620
19,35.298,2887,145,1,68,9,Female,No,No,Asian,315
20,28.8,2644,211,4,55,16,Male,Yes,Yes,Asian,324
21,11.346,2004,100,1,28,19,Male,No,No,Caucasian,123
22,43.722,4237,289,4,51,16,Male,Yes,Yes,Asian,502
23,33.033,2537,202,7,29,12,Female,No,Yes,Caucasian,97
24,123.885,7216,375,6,65,19,Female,No,No,Caucasian,678
25,70.65,5302,301,4,62,19,Male,No,Yes,African American,242
26,51.712,4417,328,6,22,15,Male,No,Yes,Asian,153
27,124.068,8740,458,4,54,9,Female,Yes,Yes,African American,1011
28,103.62,4692,369,4,71,10,Male,Yes,Yes,Caucasian,301
29,70.072,3772,207,1,41,20,Male,No,Yes,African American,622
30,14.025,927,125,4,41,10,Female,Yes,Yes,African American,0
31,180.0,10046,608,4,69,8,Female,No,No,Asian,946
32,78.489,3728,273,6,33,17,Female,No,No,African American,500
33,113.205,5867,421,4,39,15,Male,No,Yes,Asian,254
34,65.604,5423,259,5,39,18,Female,No,Yes,Asian,713
35,42.553,2294,263,6,55,15,Male,No,No,Caucasian,374
36,168.857,7417,448,5,76,8,Female,No,Yes,Caucasian,959
37,180.0,8665,539,7,56,20,Male,No,No,African American,949
38,131.675,8011,488,7,35,18,Male,No,No,Caucasian,915
39,60.046,3577,272,6,51,17,Male,No,Yes,Asian,162
40,48.479,4754,263,6,45,18,Female,No,Yes,Asian,466
41,26.846,5119,274,4,77,14,Female,No,Yes,Caucasian,326
42,27.329,4488,303,3,49,16,Male,No,Yes,Asian,608
43,19.847,4452,291,5,73,19,Female,No,Yes,Caucasian,397
44,78.689,4568,352,6,32,10,Female,No,Yes,Asian,362
45,79.034,4816,256,7,63,19,Female,Yes,No,Asian,686
46,13.626,1288,120,6,75,16,Male,Yes,Yes,African American,240
47,58.672,5651,338,1,44,20,Female,No,No,Asian,373
48,58.928,4409,282,3,47,10,Female,Yes,No,Asian,596
49,44.545,3241,207,2,37,11,Female,No,Yes,Caucasian,92
50,89.817,5584,420,7,54,18,Female,Yes,No,Asian,338
51,123.087,6521,440,3,74,18,Female,No,No,African American,608
52,46.045,4461,266,3,52,13,Male,No,Yes,Asian,414
53,77.355,3467,291,3,78,9,Female,No,No,African American,421
54,8.0,4439,283,4,33,9,Male,No,No,Caucasian,250
55,18.291,3916,219,2,33,9,Male,Yes,Yes,Asian,211
56,45.941,2533,254,2,22,19,Female,No,Yes,African American,77
57,47.19,4918,256,3,76,14,Male,No,Yes,Caucasian,351
58,36.456,2886,299,4,24,11,Male,No,Yes,Caucasian,568
